variant,n_queries,mean_ms,median_ms,p90_ms,p95_ms,parallel_bm25,max_workers,alpha_pagerank,k1,b,postings_prefix,metadata_prefix
mini_seq_bm25_pr,30,6989.86,7277.30,8072.54,8155.31,False,1,0.15,1.2,0.75,runs/mini_colab_v2/postings,runs/mini_colab_v2/meta
mini_thr5_bm25_pr,30,2502.22,2485.56,2663.19,2792.32,True,5,0.15,1.2,0.75,runs/mini_colab_v2/postings,runs/mini_colab_v2/meta
full_seq_bm25_pr,30,17664.72,17767.53,25562.86,26734.38,False,1,0.15,1.2,0.75,postings_gcp,metadata
full_thr5_bm25_pr,30,8065.60,6226.62,14563.98,16316.44,True,5,0.15,1.2,0.75,postings_gcp,metadata
